,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,new_date,year,date,first_or_second_half_of_year,crime
6493,I182083499,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,418,,2018-10-16 00:00:00,2018,10,Tuesday,0,Part Two,SELDEN ST,42.28148631,-71.07756482,"(42.28148631, -71.07756482)",10,2018,2018.10,2018.2,weed
6580,I182083403,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,427,,2018-10-15 17:20:00,2018,10,Monday,17,Part Two,BABSON ST,42.27647573,-71.09256906,"(42.27647573, -71.09256906)",10,2018,2018.10,2018.2,weed
6697,I182083275,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,476,,2018-10-15 09:34:00,2018,10,Monday,9,Part Two,BLUE HILL AVE,42.27169276,-71.09374754,"(42.27169276, -71.09374754)",10,2018,2018.10,2018.2,weed
6751,I182083213,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2018-10-15 00:04:00,2018,10,Monday,0,Part Two,TEMPLE PL,42.35521429,-71.06206351,"(42.35521429, -71.06206351)",10,2018,2018.10,2018.2,weed
6755,I182083209,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2018-10-14 22:30:00,2018,10,Sunday,22,Part Two,TEMPLE PL,42.35521429,-71.06206351,"(42.35521429, -71.06206351)",10,2018,2018.10,2018.2,weed
7474,I182082411,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E13,508,,2018-10-12 03:35:15,2018,10,Friday,3,Part Two,HYDE PARK AVE,42.29321264,-71.11755983,"(42.29321264, -71.11755983)",10,2018,2018.10,2018.2,weed
7665,I182082210,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,430,,2018-10-11 12:21:00,2018,10,Thursday,12,Part Two,LUCERNE ST,42.28610091,-71.08875949,"(42.28610091, -71.08875949)",10,2018,2018.10,2018.2,weed
7666,I182082209,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,437,,2018-10-11 12:18:00,2018,10,Thursday,12,Part Two,NORFOLK ST,42.29022613,-71.07207217,"(42.29022613, -71.07207217)",10,2018,2018.10,2018.2,weed
7675,I182082197,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3, ,,2018-10-11 11:21:00,2018,10,Thursday,11,Part Two,BLUE HILL AVE,,,"(0.00000000, 0.00000000)",10,2018,2018.10,2018.2,weed
7828,I182082034,1845,Drug Violation,DRUGS - POSS CLASS D,E18,523,,2018-10-10 19:39:00,2018,10,Wednesday,19,Part Two,ALLEN ST,42.24747097,-71.12781172,"(42.24747097, -71.12781172)",10,2018,2018.10,2018.2,weed
8057,I182081810,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,428,,2018-10-10 08:39:00,2018,10,Wednesday,8,Part Two,HOSMER ST,42.28079658,-71.09039724,"(42.28079658, -71.09039724)",10,2018,2018.10,2018.2,weed
8180,I182081680,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E18,520,,2018-10-09 16:44:00,2018,10,Tuesday,16,Part Two,HYDE PARK AVE,42.25843909,-71.12348834,"(42.25843909, -71.12348834)",10,2018,2018.10,2018.2,weed
8478,I182081376,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,D14,801,,2018-10-08 17:32:00,2018,10,Monday,17,Part Two,GARDNER ST,42.35351814,-71.13117064,"(42.35351814, -71.13117064)",10,2018,2018.10,2018.2,weed
8501,I182081349,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C6, ,,2018-10-08 15:06:00,2018,10,Monday,15,Part Two,,,,"(0.00000000, 0.00000000)",10,2018,2018.10,2018.2,weed
8506,I182081343,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E5, ,,2018-10-08 15:27:00,2018,10,Monday,15,Part Two,GROVE ST,,,"(0.00000000, 0.00000000)",10,2018,2018.10,2018.2,weed
8698,I182081137,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,102,,2018-10-07 18:08:00,2018,10,Sunday,18,Part Two,TREMONT ST,42.35637531,-71.06213513,"(42.35637531, -71.06213513)",10,2018,2018.10,2018.2,weed
9651,I182080120,1845,Drug Violation,DRUGS - POSS CLASS D,E13,573,,2018-10-04 08:30:00,2018,10,Thursday,8,Part Two,MCBRIDE ST,42.30581531,-71.109627,"(42.30581531, -71.10962700)",10,2018,2018.10,2018.2,weed
10019,I182079728,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,426,,2018-10-02 20:13:00,2018,10,Tuesday,20,Part Two,RIVER ST,42.26871441,-71.09221139,"(42.26871441, -71.09221139)",10,2018,2018.10,2018.2,weed
10294,I182079437,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,102,,2018-10-01 19:40:00,2018,10,Monday,19,Part Two,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)",10,2018,2018.10,2018.2,weed
10347,I182079386,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E13,570,,2018-10-01 16:41:00,2018,10,Monday,16,Part Two,DUNBARTON RD,,,"(0.00000000, 0.00000000)",10,2018,2018.10,2018.2,weed
10348,I182079386,1845,Drug Violation,DRUGS - POSS CLASS D,E13,570,,2018-10-01 16:41:00,2018,10,Monday,16,Part Two,DUNBARTON RD,,,"(0.00000000, 0.00000000)",10,2018,2018.10,2018.2,weed
10557,I182079166,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A15,50,,2018-09-30 23:02:00,2018,9,Sunday,23,Part Two,PARKER ST,42.3833514,-71.07894124,"(42.38335140, -71.07894124)",09,2018,2018.09,2018.2,weed
10778,I182078925,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,D14, ,,2018-09-30 00:54:09,2018,9,Sunday,0,Part Two,BRIGHTON AVE,,,"(0.00000000, 0.00000000)",09,2018,2018.09,2018.2,weed
10793,I182078911,1845,Drug Violation,DRUGS - POSS CLASS D,B2,237,,2018-09-29 23:07:00,2018,9,Saturday,23,Part Two,ELDER ST,42.32022882,-71.06307063,"(42.32022882, -71.06307063)",09,2018,2018.09,2018.2,weed
10845,I182078859,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B2, ,,2018-09-29 12:43:00,2018,9,Saturday,12,Part Two,BLUE HILL AVE,,,"(0.00000000, 0.00000000)",09,2018,2018.09,2018.2,weed
10897,I182078801,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C6,195,,2018-09-29 13:41:00,2018,9,Saturday,13,Part Two,D ST,42.33434331,-71.05615623,"(42.33434331, -71.05615623)",09,2018,2018.09,2018.2,weed
10905,I182078792,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,429,,2018-09-29 13:04:00,2018,9,Saturday,13,Part Two,NORFOLK ST,42.28199634,-71.08661103,"(42.28199634, -71.08661103)",09,2018,2018.09,2018.2,weed
10946,I182078749,1845,Drug Violation,DRUGS - POSS CLASS D,A1,111,,2018-09-29 10:30:00,2018,9,Saturday,10,Part Two,MASON ST,42.35483584,-71.06267377,"(42.35483584, -71.06267377)",09,2018,2018.09,2018.2,weed
10947,I182078749,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2018-09-29 10:30:00,2018,9,Saturday,10,Part Two,MASON ST,42.35483584,-71.06267377,"(42.35483584, -71.06267377)",09,2018,2018.09,2018.2,weed
11126,I182078557,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3, ,,2018-09-28 18:14:00,2018,9,Friday,18,Part Two,MORTON ST,,,"(0.00000000, 0.00000000)",09,2018,2018.09,2018.2,weed
11127,I182078557,1845,Drug Violation,DRUGS - POSS CLASS D,B3, ,,2018-09-28 18:14:00,2018,9,Friday,18,Part Two,MORTON ST,,,"(0.00000000, 0.00000000)",09,2018,2018.09,2018.2,weed
11272,I182078401,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B2,258,,2018-09-28 10:50:00,2018,9,Friday,10,Part Two,MONADNOCK ST,42.31633855,-71.06879992,"(42.31633855, -71.06879992)",09,2018,2018.09,2018.2,weed
11471,I182078196,1845,Drug Violation,DRUGS - POSS CLASS D,A7,28,,2018-09-27 15:51:00,2018,9,Thursday,15,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)",09,2018,2018.09,2018.2,weed
11914,I182077723,1845,Drug Violation,DRUGS - POSS CLASS D,E5,822,,2018-09-26 09:00:00,2018,9,Wednesday,9,Part Two,W BOUNDARY RD,42.2647628,-71.14657354,"(42.26476280, -71.14657354)",09,2018,2018.09,2018.2,weed
11961,I182077677,1845,Drug Violation,DRUGS - POSS CLASS D,A7,907,,2018-09-26 01:51:00,2018,9,Wednesday,1,Part Two,BORDER ST,42.37080805,-71.04292706,"(42.37080805, -71.04292706)",09,2018,2018.09,2018.2,weed
12021,I182077608,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E18, ,,2018-09-25 18:43:00,2018,9,Tuesday,18,Part Two,RIVER ST,,,"(0.00000000, 0.00000000)",09,2018,2018.09,2018.2,weed
12127,I182077510,1845,Drug Violation,DRUGS - POSS CLASS D,C11,257,,2018-09-25 12:32:00,2018,9,Tuesday,12,Part Two,STOUGHTON ST,42.3166175,-71.06407827,"(42.31661750, -71.06407827)",09,2018,2018.09,2018.2,weed
12129,I182077510,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C11,257,,2018-09-25 12:32:00,2018,9,Tuesday,12,Part Two,STOUGHTON ST,42.3166175,-71.06407827,"(42.31661750, -71.06407827)",09,2018,2018.09,2018.2,weed
12168,I182077472,1845,Drug Violation,DRUGS - POSS CLASS D,B3,435,,2018-09-25 10:53:00,2018,9,Tuesday,10,Part Two,PEACEVALE RD,42.28716674,-71.07633479,"(42.28716674, -71.07633479)",09,2018,2018.09,2018.2,weed
12309,I182077325,1845,Drug Violation,DRUGS - POSS CLASS D,B3, ,,2018-09-24 18:01:00,2018,9,Monday,18,Part Two,BLUE HILL AVE,,,"(0.00000000, 0.00000000)",09,2018,2018.09,2018.2,weed
12861,I182076736,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B2,328,,2018-09-22 17:52:00,2018,9,Saturday,17,Part Two,NORMANDY ST,42.31071077,-71.07876813,"(42.31071077, -71.07876813)",09,2018,2018.09,2018.2,weed
12913,I182076685,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E13,570,,2018-09-22 15:02:00,2018,9,Saturday,15,Part Two,FOREST HILLS ST,42.30725277,-71.10265119,"(42.30725277, -71.10265119)",09,2018,2018.09,2018.2,weed
12926,I182076673,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E13,581,,2018-09-22 11:10:00,2018,9,Saturday,11,Part Two,CENTRE ST,42.32291406,-71.10328402,"(42.32291406, -71.10328402)",09,2018,2018.09,2018.2,weed
12937,I182076661,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E13,640,,2018-09-22 14:05:00,2018,9,Saturday,14,Part Two,BOYLSTON ST,42.31694189,-71.10394558,"(42.31694189, -71.10394558)",09,2018,2018.09,2018.2,weed
13119,I182076456,1807,Drug Violation,DRUGS - CLASS D TRAFFICKING OVER 50 GRAMS,E18,490,,2018-09-21 19:03:00,2018,9,Friday,19,Part Two,AMERICAN LEGION HWY,42.27413021,-71.11674617,"(42.27413021, -71.11674617)",09,2018,2018.09,2018.2,weed
13446,I182076116,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B2,320,,2018-09-20 18:43:00,2018,9,Thursday,18,Part Two,CRAWFORD ST,42.31059431,-71.08325344,"(42.31059431, -71.08325344)",09,2018,2018.09,2018.2,weed
13612,I182075954,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E18,519,,2018-09-20 11:44:00,2018,9,Thursday,11,Part Two,HYDE PARK AVE,42.25965676,-71.12319665,"(42.25965676, -71.12319665)",09,2018,2018.09,2018.2,weed
13805,I182075753,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E5,822,,2018-09-19 17:21:00,2018,9,Wednesday,17,Part Two,GEORGETOWNE DR,42.25756623,-71.14501118,"(42.25756623, -71.14501118)",09,2018,2018.09,2018.2,weed
14185,I182075345,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C11,257,,2018-09-18 12:40:00,2018,9,Tuesday,12,Part Two,HANCOCK ST,42.310434,-71.0613401,"(42.31043400, -71.06134010)",09,2018,2018.09,2018.2,weed
14304,I182075224,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,113,,2018-09-17 22:34:00,2018,9,Monday,22,Part Two,JOHN F. FITZGERALD SURFAC,42.352885,-71.056337,"(42.35288500, -71.05633700)",09,2018,2018.09,2018.2,weed
14350,I182075175,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E13,303,,2018-09-17 18:58:00,2018,9,Monday,18,Part Two,AMORY ST,42.32027226,-71.09932525,"(42.32027226, -71.09932525)",09,2018,2018.09,2018.2,weed
14845,I182074629,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B2,179,,2018-09-16 03:09:00,2018,9,Sunday,3,Part Two,ISLAND ST,42.33130578,-71.07194742,"(42.33130578, -71.07194742)",09,2018,2018.09,2018.2,weed
14922,I182074537,1845,Drug Violation,DRUGS - POSS CLASS D,D14,786,,2018-09-15 16:30:00,2018,9,Saturday,16,Part Two,COREY RD,42.34239944,-71.14042831,"(42.34239944, -71.14042831)",09,2018,2018.09,2018.2,weed
15295,I182074126,1845,Drug Violation,DRUGS - POSS CLASS D,E13,648,,2018-09-14 11:28:00,2018,9,Friday,11,Part Two,CHILD ST,42.30678713,-71.11390321,"(42.30678713, -71.11390321)",09,2018,2018.09,2018.2,weed
15431,I182073972,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E5,681,,2018-09-13 19:35:00,2018,9,Thursday,19,Part Two,WASHINGTON ST,42.28010393,-71.13493458,"(42.28010393, -71.13493458)",09,2018,2018.09,2018.2,weed
15719,I182073661,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A15,900,,2018-09-12 18:30:00,2018,9,Wednesday,18,Part Two,O'REILLY WAY,42.37789565,-71.05840764,"(42.37789565, -71.05840764)",09,2018,2018.09,2018.2,weed
16014,I182073352,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C6,256,,2018-09-11 19:16:00,2018,9,Tuesday,19,Part Two,WILLIAM T MORRISSEY BLVD,42.31928523,-71.05027167,"(42.31928523, -71.05027167)",09,2018,2018.09,2018.2,weed
17056,I182072167,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E5,691,,2018-09-07 19:10:00,2018,9,Friday,19,Part Two,CENTRE ST,42.28709355,-71.14822128,"(42.28709355, -71.14822128)",09,2018,2018.09,2018.2,weed
17442,I182071773,1845,Drug Violation,DRUGS - POSS CLASS D,E5,729,,2018-09-06 07:15:00,2018,9,Thursday,7,Part Two,VFW PKWY,42.28536992,-71.17244016,"(42.28536992, -71.17244016)",09,2018,2018.09,2018.2,weed
17866,I182071337,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C6,936,,2018-09-05 04:54:00,2018,9,Wednesday,4,Part Two,W SEVENTH ST,42.33750921,-71.05582443,"(42.33750921, -71.05582443)",09,2018,2018.09,2018.2,weed
18370,I182070819,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,,2018-09-03 13:14:00,2018,9,Monday,13,Part Two,TEMPLE PL,42.35521429,-71.06206351,"(42.35521429, -71.06206351)",09,2018,2018.09,2018.2,weed
19807,I182069283,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,444,,2018-08-29 11:08:00,2018,8,Wednesday,11,Part Two,HARVARD ST,42.29530363,-71.08635771,"(42.29530363, -71.08635771)",08,2018,2018.08,2018.2,weed
20231,I182068824,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A7,31,,2018-08-27 19:58:00,2018,8,Monday,19,Part Two,BREMEN ST,42.37246202,-71.03475103,"(42.37246202, -71.03475103)",08,2018,2018.08,2018.2,weed
20247,I182068807,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B2, ,,2018-08-27 17:53:00,2018,8,Monday,17,Part Two,BLUE HILL AVE,,,"(0.00000000, 0.00000000)",08,2018,2018.08,2018.2,weed
20347,I182068709,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B2,328,,2018-08-27 13:41:00,2018,8,Monday,13,Part Two,QUINCY ST,42.31210601,-71.07256779,"(42.31210601, -71.07256779)",08,2018,2018.08,2018.2,weed
20419,I182068630,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B2,279,,2018-08-27 09:39:00,2018,8,Monday,9,Part Two,HARRISON AVE,42.32929812,-71.08248425,"(42.32929812, -71.08248425)",08,2018,2018.08,2018.2,weed
21237,I182067734,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C11,359,,2018-08-24 04:46:58,2018,8,Friday,4,Part Two,REGINA RD,42.29524857,-71.07108773,"(42.29524857, -71.07108773)",08,2018,2018.08,2018.2,weed
21369,I182067590,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E18,485,,2018-08-23 16:37:00,2018,8,Thursday,16,Part Two,RECTOR RD,42.26513606,-71.09913799,"(42.26513606, -71.09913799)",08,2018,2018.08,2018.2,weed
21381,I182067579,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C11, ,,2018-08-23 13:46:00,2018,8,Thursday,13,Part Two,BOWDOIN AVE,,,"(0.00000000, 0.00000000)",08,2018,2018.08,2018.2,weed
21438,I182067522,1845,Drug Violation,DRUGS - POSS CLASS D,B3, ,,2018-08-23 13:29:00,2018,8,Thursday,13,Part Two,GLENWAY ST,,,"(0.00000000, 0.00000000)",08,2018,2018.08,2018.2,weed
21650,I182067292,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3, ,,2018-08-22 17:47:00,2018,8,Wednesday,17,Part Two,BLUE HILL AVE,,,"(0.00000000, 0.00000000)",08,2018,2018.08,2018.2,weed
21905,I182067026,1845,Drug Violation,DRUGS - POSS CLASS D,A7,7,,2018-08-21 18:25:00,2018,8,Tuesday,18,Part Two,BREED ST,42.38967536,-71.00749539,"(42.38967536, -71.00749539)",08,2018,2018.08,2018.2,weed
22054,I182066884,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,463,,2018-08-21 12:45:00,2018,8,Tuesday,12,Part Two,BLUE HILL AVE,42.2973366,-71.08729604,"(42.29733660, -71.08729604)",08,2018,2018.08,2018.2,weed
22273,I182066652,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1, ,,2018-08-20 17:27:00,2018,8,Monday,17,Part Two,WINTER PL,,,"(0.00000000, 0.00000000)",08,2018,2018.08,2018.2,weed
22467,I182066445,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E13,304,,2018-08-20 01:53:00,2018,8,Monday,1,Part Two,WASHINGTON ST,42.31615184,-71.09795135,"(42.31615184, -71.09795135)",08,2018,2018.08,2018.2,weed
22572,I182066319,1845,Drug Violation,DRUGS - POSS CLASS D,E5,552,,2018-08-19 15:46:00,2018,8,Sunday,15,Part Two,CHISHOLM RD,42.27565476,-71.12695602,"(42.27565476, -71.12695602)",08,2018,2018.08,2018.2,weed
22574,I182066319,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E5,552,,2018-08-19 15:46:00,2018,8,Sunday,15,Part Two,CHISHOLM RD,42.27565476,-71.12695602,"(42.27565476, -71.12695602)",08,2018,2018.08,2018.2,weed
